,词语,情感分类,得分
14832,巨匠,PH,9.0
14833,捐献,PH,3.0
14834,有眼光,PH,9.0
14835,神工鬼斧,PH,5.0
14836,治乱存亡,PH,9.0
14837,龟鹤遐龄,PK,3.0
14838,福寿绵长,PK,3.0
14839,长命富贵,PK,3.0
14840,可歌可泣,PH,7.0
14841,勇士,PH,3.0
14842,乡贤,PH,5.0
14843,更无长物,PH,7.0
14844,忘身忘家,PH,9.0
14845,舍生取义,PH,9.0
14846,仁人君子,PH,9.0
14847,才高行洁,PH,7.0
14848,老师宿儒,PH,5.0
14849,骨鲠之臣,PH,7.0
14850,不畏强暴,PH,7.0
14851,敢勇当先,PH,5.0
14852,松柏后凋,PH,9.0
14853,敬老慈幼,PH,5.0
14854,不矜不伐,PH,3.0
14855,PFPF,PH,7.0
14856,成仁,PH,7.0
14857,宏旨,PH,7.0
14858,厚遇,PH,5.0
14859,安安静静,PH,1.0
14860,安常守分,PH,9.0
14861,民为邦国,PH,3.0
14862,一轨同风,PH,9.0
14863,为国之哭,PH,9.0
14864,捐躯报国,PH,9.0
14865,徇公灭私,PH,9.0
14866,于家为国,PH,9.0
14867,精兵简政,PH,9.0
14868,顺从,PG,0.0
14869,安谧,PH,3.0
14870,平平稳稳,PH,3.0
14871,休明盛世,PH,7.0
14872,春风化雨,PH,3.0
14873,解颜而笑,PA,0.0
14874,酣适,PA,3.0
14875,和解,PA,1.0
14876,涣然,PA,3.0
14877,吉时,PA,9.0
14878,不忘久要,PH,0.0
14879,华年,PA,5.0
14880,遵从,PD,3.0
14881,忠信,PH,5.0
14882,铁杆儿,PH,9.0
14883,遵命,PD,3.0
14884,伏贴,PD,3.0
14885,君子一言,PH,7.0
14886,珍本,PB,3.0
14887,九鼎,PD,5.0
14888,楚楚动人,PB,5.0
14889,波光粼粼,PB,1.0
14890,可叹,NB,0.0
14891,春色满园,PB,3.0
14892,芬香,PB,3.0
14893,自相矛盾,NN,-9.0
14894,懵懵懂懂,NN,-9.0
14895,古香古色,PB,3.0
14896,晶莹剔透,PB,3.0
14897,如饮醍醐,PD,7.0
14898,情趣,PB,0.0
14899,自爱,PB,0.0
14900,万古长青,PD,9.0
14901,稳定性,PE,5.0
14902,童叟无欺,PG,5.0
14903,可人,PB,5.0
14904,杂七杂八,NN,-5.0
14905,衣钵相传,PE,0.0
14906,处尊居显,PD,0.0
14907,无所畏忌,NN,5.0
14908,红情绿意,PB,5.0
14909,五光十色,PB,5.0
14910,泰山北斗,PD,7.0
14911,娇小玲珑,PB,5.0
14912,先意承志,NN,-5.0
14913,怒蛙可式,PD,7.0
14914,酷毙了,PB,7.0
14915,苍翠,PB,3.0
14916,畅旺,PA,0.0
14917,国魂,PD,3.0
14918,多彩,PB,3.0
14919,繁蔚,PB,3.0
14920,风韵,PB,5.0
14921,供献,PD,3.0
14922,老朽,NN,0.0
14923,充实,PH,0.0
14924,排场,NN,0.0
14925,随心所欲,PA,0.0
14926,意气,NN,-5.0
14927,漠漠,NB,0.0
14928,仰望,PK,3.0
14929,落花流水,NN,-3.0
14930,讲究,PH,7.0
14931,确实,PH,5.0
14932,折磨,NN,-5.0
14933,水中捞月,NJ,0.0
14934,辣手,NN,-7.0
14935,不是味儿,NE,0.0
14936,亡命,NN,-7.0
14937,得力,PB,5.0
14938,澄清,PH,0.0
14939,长者,PH,7.0
14940,面黄肌瘦,NB,0.0
14941,动魄惊心,PH,3.0
14942,别别扭扭,NN,-5.0
14943,生机勃勃,PH,5.0
14944,熙来攘往,PH,3.0
14945,赏心悦目,PA,5.0
14946,顺口,NN,-3.0
14947,惨绝人寰,NN,-3.0
14948,与世无争,PE,0.0
14949,别扭,NE,0.0
14950,佳人,PH,9.0
14951,洋洋,PH,7.0
14952,垂头丧气,NB,0.0
14953,生机勃勃,PA,3.0
14954,七上八下,NI,0.0
14955,动人,PH,5.0
14956,数米而炊,NN,-5.0
14957,左袒,NN,-3.0
14958,不平,,0.0
14959,漆黑一团,NN,0.0
14960,澄清,PH,3.0
14961,造就,PH,7.0
14962,真正,PH,3.0
14963,明快,PH,3.0
14964,伪装,NN,0.0
14965,轻飘,NN,-5.0
14966,辣手,NE,0.0
14967,天昏地暗,NN,-3.0
14968,掣肘,NN,-5.0
14969,不济事,NN,-7.0
14970,随心所欲,NN,-3.0
14971,超脱,PH,7.0
14972,深情,PB,9.0
14973,丢人,NG,-7.0
14974,粗犷,NN,-3.0
14975,夫子,PD,0.0
14976,清爽,PH,7.0
14977,好笑,PA,0.0
14978,解决,PA,0.0
14979,恹恹,NE,0.0
14980,谢忱,PD,5.0
14981,谢帖,PD,0.0
14982,邂逅,PA,0.0
14983,心软,PG,0.0
14984,欣悉,PA,0.0
14985,新郎,PB,0.0
14986,信步,PE,0.0
14987,兴叹,NB,0.0
14988,行贿,ND,-5.0
14989,幸臣,ND,-5.0
14990,虚空,NJ,0.0
14991,絮絮,NE,-5.0
14992,荩臣,PH,7.0
14993,精神,PA,7.0
14994,寂然,PE,0.0
14995,嘉酿,PH,5.0
14996,匠心,PH,7.0
14997,正梁,PH,7.0
14998,狐群狗党,ND,-5.0
14999,国色天香,PH,7.0
15000,一笑干金,PH,7.0
15001,形迹可疑,PC,0.0
15002,驿使梅花,PF,5.0
15003,意马心猿,NN,-5.0
15004,因公假私,ND,-5.0
15005,音信杳无,NJ,0.0
15006,淫心匿行,ND,-5.0
15007,引日成岁,PF,0.0
15008,引商刻羽,PB,3.0
15009,饮冰内热,NC,0.0
15010,饮胆尝血,PH,5.0
15011,莺吟燕儛,PA,0.0
15012,鹰击毛挚,NN,-5.0
15013,营私罔利,ND,-5.0
15014,郢中白雪,PH,5.0
15015,应机立断,PH,5.0
15016,雍容大雅,PH,5.0
15017,优游自得,PE,0.0
15018,悠哉游哉,PE,0.0
15019,游刃有馀,PH,5.0
15020,游戏三昧,PH,3.0
15021,有志无时,NJ,0.0
15022,有气没力,NN,-5.0
15023,有嘴没舌,NJ,0.0
15024,诱秦诓楚,NN,-5.0
15025,予取予携,NN,-5.0
15026,余霞散绮,PH,9.0
15027,鱼水相投,PH,9.0
15028,鱼游釜内,NC,0.0
15029,鱼龙曼延,NN,-7.0
15030,鱼惊鸟散,NN,-7.0
15031,逾墙窥蠙,NN,-7.0
15032,榆瞑豆重,NN,-7.0
15033,与物无忤,PH,7.0
15034,雨歇云收,NB,0.0
15035,语近词冗,NN,-5.0
15036,语简意赅,PH,7.0
15037,玉液金波,PH,0.0
15038,玉惨花愁,NE,0.0
15039,玉箫金琯,PH,7.0
15040,遇水叠桥,PH,5.0
15041,鬻鸡为凤,NN,-5.0
15042,渊清玉絜,PH,7.0
15043,元恶大奸,NN,-9.0
15044,托庇,NN,-5.0
15045,拖后腿,NN,-7.0
15046,妥善,PH,0.0
15047,玩狎,ND,-7.0
15048,王八,NN,-7.0
15049,威风,PD,5.0
15050,为难,ND,-5.0
15051,陪了夫人又折兵,NB,-7.0
15052,面墙而立,NN,-5.0
15053,绵力薄材,NN,-5.0
15054,梧鼠五技,NN,-3.0
15055,翻来覆去,NC,-5.0
15056,隔墙有耳,NC,-3.0
15057,狠吞虎咽,NN,-3.0
15058,风驰电掣,PH,5.0
15059,大步流星,PH,3.0
15060,兵来将当，水来土掩,PH,5.0
15061,因人成事,PH,5.0
15062,擎肌分理,PH,3.0
15063,原始要终,PH,3.0
15064,系风捕影,NN,-5.0
15065,知被知己,PH,3.0
15066,十步九回头,NB,-7.0
15067,趑趄不前,NN,-5.0
15068,依样画葫芦,NN,-5.0
15069,箪食壶浆,PH,5.0
15070,事不关己，高高挂起,NN,-3.0
15071,撮盐入火,NN,-5.0
15072,不置褒贬,NN,-3.0
15073,不露声色,PH,3.0
15074,置之度外,PH,7.0
15075,喏喏连声,NN,-5.0
15076,闭门羹,NN,-5.0
15077,包羞忍耻,PH,5.0
15078,不见棺材不落泪,NN,-5.0
15079,硁砭之愚,NN,-5.0
15080,争先恐后,PH,5.0
15081,驷不及舌,PH,5.0
15082,驷马难追,PH,0.0
15083,松乔之寿,PH,9.0
15084,送去迎来,ND,-1.0
15085,送旧迎新,NN,-5.0
15086,搜肠润吻,PB,7.0
15087,夙夜匪解,PH,9.0
15088,隋珠和璧,PH,9.0
15089,随行逐队,PD,0.0
15090,随波逐浪,NN,-7.0
15091,随时施宜,PH,9.0
15092,随圆就方,PH,9.0
15093,岁寒三友,PH,5.0
15094,遂迷忘反,NN,-9.0
15095,碎骨粉身,PH,0.0
15096,损上益下,NN,-9.0
15097,踏故習常,NN,-7.0
15098,汰劣留良,PH,-7.0
15099,贪功起釁,NN,-7.0
15100,贪位慕禄,NN,-9.0
15101,谈天说地,PA,7.0
15102,谈笑自如,PH,7.0
15103,谭言微中,PH,7.0
15104,探汤蹈火,PH,9.0
15105,汤去三面,PH,9.0
15106,滔滔不竭,PH,7.0
15107,饕口馋舌,NN,-5.0
15108,桃李之馈,NN,-5.0
15109,桃李精神,PH,7.0
15110,陶情適性,PH,5.0
15111,腾云驾雾,NN,-7.0
15112,梯山架壑,PH,7.0
15113,鶗鴂彫卉,ND,-7.0
15114,逖听遐视,PH,9.0
15115,殢雨尤云,PB,0.0
15116,天下莫敌,PH,9.0
15117,天方夜谭,NN,-5.0
15118,天年不遂,NB,-7.0
15119,天真烂熳,PA,7.0
15120,天假之年,PH,9.0
15121,天与人归,PH,9.0
15122,添枝加叶,NN,-7.0
15123,恬不知怪,PE,7.0
15124,挑三拨四,NN,-7.0
15125,挑脣料嘴,NN,-7.0
15126,铁打心肠,PH,0.0
15127,铁棒磨成针,PH,9.0
15128,铁树花开,PC,9.0
15129,挺而走险,PH,9.0
15130,通元识微,PH,9.0
15131,通材达识,PH,7.0
15132,通时合变,PH,7.0
15133,通权达理,PH,7.0
15134,同心一力,PH,7.0
15135,同心协力,PH,7.0
15136,同休共戚,PH,7.0
15137,同流合汙,NN,-7.0
15138,同尘合汙,NN,-7.0
15139,同声相求,PB,9.0
15140,铜城铁壁,PH,9.0
15141,铜铸铁浇,PH,9.0
15142,头一无二,PH,9.0
15143,头昏脑眩,NE,0.0
15144,头梢自领,NE,-5.0
15145,头痛额热,NE,-3.0
15146,投卵击石,NN,-9.0
15147,糖衣炮弹,NN,-7.0
15148,逃难,NI,-5.0
15149,陶铸,PH,5.0
15150,套交情,ND,-5.0
15151,天禀,PH,3.0
15152,天神,PD,9.0
15153,天资,PH,3.0
15154,甜密,PB,9.0
15155,铁饭碗,PB,9.0
15156,触目,NC,-7.0
15157,摧枯拉朽,PH,7.0
15158,村学究语,NN,-5.0
15159,寸长尺技,NN,-5.0
15160,撮科打閧,PB,5.0
15161,打死虎,NN,-7.0
15162,打富济贫,PH,5.0
15163,大吆小喝,NN,-5.0
15164,大音希声,PH,7.0
15165,大智如愚,PH,7.0
15166,大头小尾,NN,5.0
15167,代越庖俎,NN,-5.0
15168,戴天履地,PH,5.0
15169,戴罪立功,PH,0.0
15170,单刀直入,PH,5.0
15171,担惊受恐,NC,0.0
15172,胆大心雄,PH,5.0
15173,胆粗气壮,PH,5.0
15174,诞幻不经,NN,-5.0
15175,弹空说嘴,NN,-5.0
15176,刀光血影,NN,-5.0
15177,倒打一耙,NN,-5.0
15178,倒执手版,NI,0.0
15179,道山学海,PH,5.0
15180,道东说西,NN,-5.0
15181,道微德薄,NN,-5.0
15182,道殣相属,NB,-5.0
15183,得不偿丧,NJ,0.0
15184,得意扬扬,PA,5.0
15185,德重恩弘,PH,5.0
15186,砥柱中流,PH,7.0
15187,地久天长,PA,7.0
15188,雕文织采,PH,5.0
15189,雕虫小巧,NN,-5.0
15190,彫虫篆刻,NN,-5.0
15191,调良稳泛,PE,0.0
15192,跌宕风流,PH,5.0
15193,蹀躞不下,NI,-5.0
15194,丢三拉四,NN,-5.0
15195,东方不亮西方亮,PG,5.0
15196,东床娇婿,PB,5.0
15197,东游西逛,NN,-5.0
15198,花枪,NN,-5.0
15199,怀鬼胎,NL,-3.0
15200,黄口小儿,NN,-1.0
15201,恍忽,NI,0.0
15202,回首,PF,0.0
15203,浑厚,PH,5.0
15204,骨气,PD,3.0
15205,呱嗒,NN,-3.0
15206,光蛋,NN,-3.0
15207,遣兴陶情,PA,4.0
15208,强直自遂,PD,7.0
15209,强文假醋,NN,-7.0
15210,敲竹槓,NN,-7.0
15211,敲锣打鼓,PA,8.0
15212,巧偷豪夺,NN,-5.0
15213,嵚崎磊落,PH,8.0
15214,沁人心肺,PA,6.0
15215,青钱万选,PH,7.0
15216,轻生重义,PH,5.0
15217,轻财仗义,PH,5.0
15218,轻怜疼惜,PB,5.0
15219,清风亮节,PH,7.0
15220,清辞丽曲,PH,0.0
15221,区闻陬见,NN,-5.0
15222,驱霆策电,PH,8.0
15223,权变锋出,PH,6.0
15224,雀目鼠步,NC,-9.0
15225,鹊巢鸠佔,NN,-6.0
15226,让逸竞劳,PH,5.0
15227,人亡家破,NB,-5.0
15228,人面狗心,NN,-5.0
15229,人喊马嘶,PA,7.0
15230,忍苦耐劳,PH,5.0
15231,日旰忘餐,PH,5.0
15232,日乾夕惕,PH,5.0
15233,日丽风和,PE,5.0
15234,柔情侠骨,PB,5.0
15235,柔肠百转,PB,5.0
15236,如此而已,NJ,-5.0
15237,如拾地芥,PG,5.0
15238,如汤沃雪,PG,5.0
15239,如解倒悬,PH,5.0
15240,如龙似虎,PH,5.0
15241,儒雅风流,PH,5.0
15242,入火赴汤,PH,5.0
15243,入海算沙,NN,-5.0
15244,软谈丽语,PH,5.0
15245,撒娇撒痴,PB,5.0
15246,三十而立,PH,5.0
15247,三台八座,PD,5.0
15248,三灾六难,NB,-5.0
15249,三纸无驴,NN,-5.0
15250,三跪九叩,PD,5.0
15251,三臡八菹,PB,5.0
15252,桑中之喜,NN,-5.0
15253,丧家之狗,NN,-5.0
15254,山上无老虎，猴子称大王,NN,-5.0
15255,山穷水绝,NJ,-5.0
15256,讪皮讪脸,NN,-5.0
15257,伤弓之鸟,NC,-5.0
15258,赏不逾时,PH,5.0
15259,赏贤使能,PH,5.0
15260,上天入地,PH,5.0
15261,舍近求远,NN,-5.0
15262,射石饮羽,PH,5.0
15263,身不遇时,NJ,-5.0
15264,身首异地,NB,-5.0
15265,身远心近,PA,5.0
15266,深仁厚泽,PH,5.0
15267,深计远虑,PH,5.0
15268,深情厚意,PH,5.0
15269,神工鬼力,PH,5.0
15270,神乎其神,PH,5.0
15271,神来之笔,PH,5.0
15272,神眉鬼眼,ND,-5.0
15273,神清气朗,PH,5.0
15274,神号鬼哭,NB,-5.0
15275,神机鬼械,NN,-5.0
15276,神谟远算,PH,5.0
15277,尸禄素飡,NN,-5.0
15278,失时落势,NJ,-5.0
15279,失魂荡魄,NI,-5.0
15280,刺激,ND,-5.0
15281,从犯,NN,-7.0
15282,粗活,ND,-5.0
15283,错别字,NN,-3.0
15284,打破,NN,-5.0
15285,震惊,NC,0.0
15286,造化小儿,NN,-5.0
15287,庞眉皓发,NB,0.0
15288,愁眉啼妆,NB,0.0
15289,掷果潘安,PH,7.0
15290,漆身吞炭,ND,7.0
15291,油头滑脑 ,NN,-5.0
15292,衷曲,NB,-7.0
15293,雄姿英发,PH,9.0
15294,少气无力,ND,-7.0
15295,付之一笑,PA,7.0
15296,烟视媚行,NG,-7.0
15297,耳根清净,PA,7.0
15298,舌敝唇焦,NB,-7.0
15299,筋疲力尽,,-7.0
15300,头重脚轻,ND,-7.0
15301,清心寡欲,PH,7.0
15302,不可磨灭,PH,9.0
15303,落月屋梁,PF,-7.0
15304,畏威怀德,PF,-7.0
15305,弘誓大愿,PH,7.0
15306,力不胜任,NJ,-5.0
15307,无从下手,NB,-7.0
15308,大旱云霓,PF,-7.0
15309,千金买骨,PH,9.0
15310,延颈举踵,PF,-7.0
15311,神色自若,PH,7.0
15312,屠门大嚼,PF,7.0
15313,心荡神迷,NI,-7.0
15314,一则以喜，一则以惧,NI,-7.0
15315,叨在知己,NH,-7.0
15316,抚心自问,NB,-7.0
15317,豪放不羁,PH,7.0
15318,笑逐颜开,PA,9.0
15319,无官一身轻,PE,7.0
15320,轩轩甚得,PE,7.0
15321,怒火中烧,,-9.0
15322,惯愤不平,,-9.0
15323,痛定思痛,NB,-9.0
15324,惙怛伤悴,NB,-9.0
15325,宝卷,PB,7.0
15326,保养,PB,7.0
15327,报丧,NB,-9.0
15328,暴风雨,NC,-5.0
15329,悲歌,NB,-5.0
15330,背气,NC,-3.0
15331,奔腾,PB,7.0
15332,崩漏,NC,-7.0
15333,鼻咽癌,NC,-7.0
15334,必得,PG,9.0
15335,庇佑,PE,7.0
15336,壁上观,NN,-7.0
15337,边区,PD,7.0
15338,贬责,NN,-7.0
15339,误事,NN,-5.0
15340,西洋景,ND,-5.0
15341,稀糟,NN,0.0
15342,洗礼,PH,5.0
15343,喜剧,PA,0.0
15344,戏耍,,-3.0
15345,细作,ND,0.0
15346,下第,NN,0.0
15347,下台,NI,0.0
15348,先达,PD,5.0
15349,鲜果,PH,0.0
15350,闲工夫,ND,0.0
15351,闲庭,PH,3.0
15352,嫌隙,NK,0.0
15353,显扬,PH,0.0
15354,险滩,NC,0.0
15355,现行犯,ND,-3.0
15356,偌大,PH,3.0
15357,洒狗血,NN,-1.0
15358,散落,NB,-5.0
15359,丧礼,NB,-7.0
15360,扫灭,ND,-5.0
15361,瑟瑟,NC,-5.0
15362,傻劲儿,NN,-3.0
15363,姗姗,PA,1.0
15364,善后,PH,1.0
15365,赡养,PH,3.0
15366,伤亡,NB,-5.0
15367,商酌,PD,3.0
15368,赏阅,PH,3.0
15369,上房,PH,5.0
15370,上劲,PH,3.0
15371,紧绷绷,NI,0.0
15372,京京,NE,0.0
15373,久仰,PD,7.0
15374,改窜,NN,-7.0
15375,寄托,PB,5.0
15376,嘉肴,PH,5.0
15377,假托,NN,-3.0
15378,俭约,PH,0.0
15379,犟劲,PH,3.0
15380,披麻救火,NN,-1.0
15381,匹马当先,PD,3.0
15382,飘茵落溷,NJ,-3.0
15383,贫贱骄人,ND,-7.0
15384,破卵倾巢,NN,-7.0
15385,破愁为笑,PA,0.0
15386,剖析肝胆,PD,3.0
15387,七步之才,PH,3.0
15388,七窍冒火,,-9.0
15389,奇想天开,NN,-3.0
15390,骑牛读汉书,PH,5.0
15391,骑鹤维扬,NN,-5.0
15392,棋逢敌手,PD,5.0
15393,杞梓之林,PH,3.0
15394,气决泉达,PE,5.0
15395,气满志骄,PE,7.0
15396,弃邪归正,PH,3.0
15397,弃义倍信,ND,-5.0
15398,洽博多闻,PH,7.0
15399,千古绝唱,PH,9.0
15400,千里姻缘一线牵,PB,0.0
15401,千灾百难,NB,-9.0
15402,千思万虑,PF,0.0
15403,千载一圣,PD,9.0
15404,千头万序,PF,0.0
15405,迁善去恶,PH,7.0
15406,牵萝莫补,NJ,0.0
15407,前功尽灭,NJ,0.0
15408,前瞻后顾,PF,-9.0
15409,潜精研思,PH,9.0
15410,名教,PH,7.0
15411,名士派,PH,7.0
15412,明眼人,PH,5.0
15413,默哀,NJ,-7.0
15414,纳福,PE,5.0
15415,依仗,ND,-7.0
15416,贻误,NN,-5.0
15417,义卖,PH,5.0
15418,义战,PH,7.0
15419,意志,PH,5.0
15420,应付,NN,-7.0
15421,御用,ND,-7.0
15422,元旦,PA,7.0
15423,元夜,PA,5.0
15424,原子炸弹,NC,-7.0
15425,援外,PH,5.0
15426,院士,PD,7.0
15427,岳父,PD,7.0
15428,云翳,NC,-5.0
15429,晕车,NI,-5.0
15430,砸饭碗,NB,-7.0
15431,在行,PH,7.0
15432,糟改,NN,-7.0
15433,增产,PA,7.0
15434,增殖,PA,-7.0
15435,批郤导窾,PA,7.0
15436,一蹴而就,PA,7.0
15437,安堵如故,PE,7.0
15438,存亡绝续,NC,-7.0
15439,福无双至,NJ,-7.0
15440,积羽沉舟,NC,-7.0
15441,首当其冲,NB,-7.0
15442,象齿焚身,NI,-7.0
15443,大白于天下,PA,7.0
15444,不足为据,NL,-7.0
15445,强颜为笑,NB,-7.0
15446,一无所失,PH,7.0
15447,百足之虫，死而不僵,PC,-7.0
15448,有钱使得鬼推磨,NN,-7.0
15449,不存芥蒂,PH,7.0
15450,声应气求,PA,7.0
15451,三顾茅庐　,PH,7.0
15452,钻皮出羽,NN,-7.0
15453,击节称赏　,PH,5.0
15454,强死强活　,NB,-7.0
15455,太丘道广　,PH,5.0
15456,不弃草昧　,PH,5.0
15457,海屋添筹　,PA,7.0
15458,天保九如　,PA,7.0
15459,螽斯衍庆　,PH,7.0
15460,未能免俗,NN,-5.0
15461,立足之地,NB,-5.0
15462,月下花前,PB,7.0
15463,深壁高垒,PH,5.0
15464,九霄云外,NB,-5.0
15465,朝发夕至,PA,5.0
15466,千岩竞秀,PA,5.0
15467,草长莺飞,PH,7.0
15468,流水桃花,PA,7.0
15469,纷红骇绿,PA,5.0
15470,郁郁葱葱 ,PH,7.0
15471,手泽之遗,NB,-7.0
15472,左图右史,PH,7.0
15473,海市蜃楼,NN,-7.0
15474,污泥浊水,NN,-7.0
15475,喷薄欲出,PH,9.0
15476,硕大无朋,PH,7.0
15477,不足,NJ,-5.0
15478,裁汰,NJ,-7.0
15479,残疾,NC,-7.0
15480,插脚,NN,-7.0
15481,搀和,ND,-7.0
15482,引车卖浆,ND,-5.0
15483,引商刻角,PB,3.0
15484,饮冰吞檗,PH,5.0
15485,饮犊上流,PH,5.0
15486,莺飞草长,PA,0.0
15487,鹰击长空,PH,5.0
15488,营私植党,ND,-5.0
15489,郢匠挥斤,PH,5.0
15490,映雪囊萤,PH,5.0
15491,雍容典雅,PH,5.0
15492,优游自適,PE,0.0
15493,悠游自在,PE,0.0
15494,游蜂戏蝶,NN,-5.0
15495,游戏翰墨,NN,-5.0
15496,有我无人,NN,-5.0
15497,有气无力,NN,-5.0
15498,有声没气,NN,-5.0
15499,狖轭鼯轩,PH,5.0
15500,予智予雄,NN,-7.0
15501,余响绕梁,PH,9.0
15502,鱼水相懽,PH,9.0
15503,鱼游濠上,PB,5.0
15504,鱼龙漫衍,NN,-7.0
15505,娱妻弄子,PA,0.0
15506,逾墙钻穴,NN,-7.0
15507,愚夫蠢妇,NN,-5.0
15508,雨泣云愁,NE,0.0
15509,雨愁烟恨,NE,0.0
15510,语言无味,NN,-5.0
15511,玉石不分,NN,-5.0
15512,玉液金浆,PH,0.0
15513,玉质金相,PH,9.0
15514,玉关人老,PF,0.0
15515,遇事生端,NN,-7.0
15516,鬻宠擅权,NN,-5.0
15517,渊渟岳峙,PH,7.0
15518,元奸巨恶,NN,-9.0
15519,各为其主,NN,-5.0
15520,竭泽而渔,,-7.0
15521,糊涂,NN,-3.0
15522,乳臭末干,NN,-5.0
15523,蔽聪塞明,NN,-5.0
15524,有限如盲,NN,-5.0
15525,驽马铅刀,NN,-5.0
15526,庸医杀人,NN,-3.0
15527,寡闻少见,NN,-5.0
15528,浅见,NN,-3.0
15529,坎井之蛙,NN,-5.0
15530,了不长进,NN,-5.0
15531,心闲手敏,PH,5.0
15532,东张西望,NN,-1.0
15533,大声疾呼,NN,-3.0
15534,指桑骂槐 ,,-5.0
15535,急起直迫,PH,5.0
15536,健步如飞,PH,7.0
15537,因利乘便,PH,3.0
15538,有以善处,PH,5.0
15539,删繁就简,PH,5.0
15540,不折不扣,PH,5.0
15541,一步一个脚印,PH,5.0
15542,徒宅忘妻,NN,-7.0
15543,以指挠沸,NN,-5.0
15544,锋芒不露,NN,-5.0
15545,严肃,PH,3.0
15546,闭目塞听,NN,-5.0
15547,以耳代目,NN,-5.0
15548,一棍子打死,NN,-7.0
15549,扣槃扪烛,NN,-5.0
15550,奉行故事,NN,-3.0
15551,以古非今,NN,-5.0
15552,远求骐骥,PH,5.0
15553,知白守黑,NN,-3.0
15554,作壁上观,NN,-5.0
15555,落落穆穆,NN,-5.0
15556,萧曹避席,PH,9.0
15557,芳兰竞体,PH,5.0
15558,听任,NN,-5.0
15559,大题小做,NN,-3.0
15560,不相闻问杜门谢客,NN,-5.0
15561,了身达命,PE,0.0
15562,捩手覆羹,NC,-9.0
15563,林籁泉韵,PH,9.0
15564,伶仃孤苦,NB,-9.0
15565,零丁孤苦,NB,-9.0
15566,另眼相待,PB,3.0
15567,令原之戚,NB,0.0
15568,流水落花,NB,5.0
15569,流星掣电,PH,7.0
15570,流溺忘反,PB,7.0
15571,流离颠疐,NB,-9.0
15572,柳眉剔竖,,-7.0
15573,柳腰花态,PH,7.0
15574,柳亸花娇,PH,7.0
15575,六畜不安,ND,7.0
15576,六尘不染,PE,0.0
15577,龙血玄黄,NN,-7.0
15578,龙言凤语,PB,7.0
15579,龙首豕足,NN,-7.0
15580,龙马精神,PH,5.0
15581,龙章麟角,PH,7.0
15582,龙跧虎卧,PB,3.0
15583,龙盘凤翥,PH,5.0
15584,龙举云兴,PG,7.0
15585,龙蟠虎绕,PH,3.0
15586,龙腾虎啸,PH,7.0
15587,龙骧虎啸,PH,7.0
15588,镂冰雕朽,NB,-7.0
15589,镂脂翦楮,NB,-7.0
15590,鲁戈挥日,PH,9.0
15591,鲁阳挥戈,PH,9.0
15592,鹿皮苍璧,NN,-1.0
15593,路见不平,PH,7.0
15594,戮力壹心,PH,7.0
15595,露胆披诚,PH,7.0
15596,鸾孤凤只,NB,-5.0
15597,鸾停鹄峙,PH,5.0
15598,鸾鹄停峙,PH,5.0
15599,乱坠天花,NN,-3.0
15600,论短道长,NN,-3.0
15601,骆驿不绝,PB,3.0
15602,闾阎安堵,PE,5.0
15603,履舄交错,NN,-1.0
15604,麻痹大意,NN,-5.0
15605,马去马归,NI,-3.0
15606,马革盛尸,PD,7.0
15607,骂天咒地,NN,-5.0
15608,买爵贩官,NN,-7.0
15609,卖主求荣,ND,-7.0
15610,卖官卖爵,NN,-7.0
15611,埋头苦幹,PH,7.0
15612,谩藏诲盗,NN,-5.0
15613,满脸春风,PA,7.0
15614,漫天过海,NN,-5.0
15615,盲人说象,NN,-5.0
15616,毛发悚然,NC,-9.0
15617,貌是心非,NN,-1.0
15618,没没无闻,NB,-1.0
15619,没眉没眼,NN,-1.0
15620,每饭不忘,PG,7.0
15621,门堪罗雀,NJ,-7.0
15622,黾穴鸲巢,NJ,-7.0
15623,迷而不反,NN,-9.0
15624,迷魂淫魄,NN,-3.0
15625,靡衣偷食,ND,-7.0
15626,靡然顺风,NN,-3.0
15627,柔情密意,PB,5.0
15628,柔肤弱体,PB,5.0
15629,如花似月,PB,5.0
15630,如指诸掌,PG,5.0
15631,如汤浇雪,PG,5.0
15632,如意算盘,NN,-5.0
15633,如蹈水火,NB,-5.0
15634,乳臭未除,NN,-5.0
15635,入主出奴,NN,-5.0
15636,入理切情,PG,5.0
15637,枘圆凿方,NN,-5.0
15638,撒痴撒娇,PB,5.0
15639,三人成虎,ND,-5.0
15640,三吐三握,PH,5.0
15641,三长四短,NB,-5.0
15642,三从四德,NN,-5.0
15643,三头八臂,PH,5.0
15644,三沐三薰,PD,5.0
15645,桑弧蓬矢,PH,5.0
15646,丧魂失魄,NC,-5.0
15647,山止川行,PH,5.0
15648,山穷水断,NJ,-5.0
15649,扇风点火,NN,-5.0
15650,伤化败俗,NN,-5.0
15651,赏功罚罪,PH,5.0
15652,赏贤罚暴,PH,5.0
15653,韶颜稚齿,PA,5.0
15654,舍近即远,NN,-5.0
15655,射利沽名,NN,-5.0
15656,身心交瘁,NJ,-5.0
15657,身退功成,PA,5.0
15658,身当矢石,PH,5.0
15659,深仇宿怨,ND,-5.0
15660,深奸巨猾,NN,-5.0
15661,深惟重虑,PH,5.0
15662,神工意匠,PH,5.0
15663,神而明之,PH,5.0
15664,神来气旺,PA,5.0
15665,神飞色舞,PA,5.0
15666,神清气爽,PE,5.0
15667,神魂飞越,PH,5.0
15668,神会心融,PH,5.0
15669,神融气泰,PE,5.0
