,词语,情感分类,得分
7635,踏实,PE,0.0
7636,闲雅,PE,0.0
7637,同生共死,PB,0.0
7638,解囊相助,PH,0.0
7639,扶贫济困,PH,0.0
7640,气馁,NJ,0.0
7641,惨剧,NB,0.0
7642,厌弃,ND,0.0
7643,相知恨晚,PB,0.0
7644,千闻不如一见,PH,0.0
7645,潦草,NN,0.0
7646,不过尔尔,NN,0.0
7647,阿飞,NN,-3.0
7648,红娘,PH,0.0
7649,时兴,PH,0.0
7650,富有,PH,0.0
7651,污辱,NN,0.0
7652,落花流水,NB,0.0
7653,爱慕,PB,0.0
7654,凄惨,NB,0.0
7655,冷静,PH,5.0
7656,纪念,PF,0.0
7657,狐疑,NE,0.0
7658,投机,PB,0.0
7659,赃款,NN,-7.0
7660,糟烂,NN,-3.0
7661,躁动,NN,-5.0
7662,贼巢,ND,-5.0
7663,窄狭,NN,-3.0
7664,仗势,NN,-5.0
7665,肇事,NN,-5.0
7666,指斥,NN,-5.0
7667,致命,NC,-5.0
7668,清健,PH,5.0
7669,清奇,PH,0.0
7670,清心,PH,5.0
7671,轻灵,PH,5.0
7672,晴爽,PH,5.0
7673,穰穰,PA,5.0
7674,热血,PH,5.0
7675,容姿,PH,3.0
7676,柔静,PH,5.0
7677,软媚,PH,5.0
7678,桑梓,PD,3.0
7679,深彻,PH,1.0
7680,神威,PH,5.0
7681,盛景,PH,5.0
7682,盛意,PH,5.0
7683,圣手,PD,3.0
7684,舒意,PA,5.0
7685,素雅,PH,3.0
7686,中邪,NN,-5.0
7687,装样子,NN,-5.0
7688,浊世,NN,-5.0
7689,恣睢,NN,-5.0
7690,纵欲,NN,-5.0
7691,阻隔,NN,-3.0
7692,钻心,NE,-7.0
7693,嘴贫,NN,-5.0
7694,罪尤,NN,-9.0
7695,作乱,NN,-7.0
7696,恬美,PH,5.0
7697,通亮,PH,3.0
7698,完好,PH,3.0
7699,旺炽,PH,5.0
7700,文名,PH,3.0
7701,稳帖,PH,3.0
7702,无华,PH,3.0
7703,稀贵,PH,5.0
7704,侠气,PH,5.0
7705,鲜绿,PB,5.0
7706,娴熟,PH,5.0
7707,详密,PH,3.0
7708,谐婉,PH,5.0
7709,新秀,PH,5.0
7710,欣欣,PH,5.0
7711,集锦,PH,1.0
7712,济世,PH,9.0
7713,纪念碑,PD,3.0
7714,雄风,PH,3.0
7715,雄强,PH,3.0
7716,秀拔,PH,5.0
7717,秀异,PH,5.0
7718,轩朗,PH,5.0
7719,压轴戏,PH,5.0
7720,雅气,PH,5.0
7721,妍雅,PH,5.0
7722,艳阳天,PH,5.0
7723,夷旷,PH,5.0
7724,义烈,PH,5.0
7725,逸韵,PH,5.0
7726,英模,PH,5.0
7727,莹澈,PH,3.0
7728,颖异,PH,5.0
7729,勇壮,PH,3.0
7730,幽趣,PH,5.0
7731,有恒,PH,5.0
7732,有效,PH,5.0
7733,余裕,PH,5.0
7734,郁烈,PH,5.0
7735,家珍,PH,5.0
7736,佳偶,PH,9.0
7737,嘉名,PH,5.0
7738,简括,PH,3.0
7739,践行,PD,5.0
7740,见惠,PD,3.0
7741,建树,PH,7.0
7742,奖励,PH,3.0
7743,奖状,PH,3.0
7744,娇红,PH,3.0
7745,娇妻,PB,5.0
7746,教导,PD,1.0
7747,接引,PD,3.0
7748,节操,PH,7.0
7749,金婚,PH,3.0
7750,谨密,PH,5.0
7751,韵味,PH,3.0
7752,造诣,PH,5.0
7753,战果,PA,3.0
7754,朝阳,PA,3.0
7755,真诠,PH,5.0
7756,珍品,PB,7.0
7757,峥嵘,PH,7.0
7758,知己,PG,5.0
7759,直性,PH,5.0
7760,志行,PH,7.0
7761,至言,PH,7.0
7762,挚切,PH,7.0
7763,忠忱,PH,7.0
7764,祝捷,PA,3.0
7765,专长,PH,3.0
7766,壮实,PH,3.0
7767,卓荦,PH,7.0
7768,擢升,PA,5.0
7769,进军,PH,1.0
7770,钻研,PH,5.0
7771,左右手,PG,5.0
7772,尽职,PH,3.0
7773,精当,PH,5.0
7774,精炼,PH,5.0
7775,精勤,PH,5.0
7776,精雅,PH,5.0
7777,精装,PH,3.0
7778,经世,PH,9.0
7779,警醒,PH,1.0
7780,景致,PH,3.0
7781,靓妆,PH,5.0
7782,劲健,PH,3.0
7783,救护,PH,1.0
7784,掬诚,PH,3.0
7785,巨擘,PH,9.0
7786,镌刻,PH,3.0
7787,啰里啰嗦,NN,-5.0
7788,暗地里,NN,-3.0
7789,白忙,NE,0.0
7790,卑陋,NN,-9.0
7791,鄙贱,NN,-9.0
7792,训练有素,PH,9.0
7793,震撼人心,PC,9.0
7794,要死要活,NN,-7.0
7795,顽石点头,PH,9.0
7796,秀外惠中,PH,9.0
7797,有威信,PH,9.0
7798,有见识,PH,9.0
7799,真心诚意,PH,9.0
7800,站得住脚,PH,9.0
7801,有的放矢,PH,9.0
7802,音调优美,PH,9.0
7803,行之有效,PH,9.0
7804,谐趣横生,PH,9.0
7805,直来直去,PH,3.0
7806,不堪造就,NN,-9.0
7807,世态炎凉,NB,-9.0
7808,水泄不通,NN,-9.0
7809,死死,NN,-9.0
7810,酸涩,NN,-9.0
7811,徒然,NN,-9.0
7812,危机四伏,NC,-9.0
7813,无关大局,NN,-9.0
7814,无人过问,NN,-9.0
7815,下三滥,NN,-9.0
7816,不起眼儿,NN,-3.0
7817,不问三七二十一,NN,0.0
7818,不着调,NN,-5.0
7819,残酷无情,NN,-9.0
7820,豺狼成性,NN,-9.0
7821,稀里糊涂,NN,-9.0
7822,咄咄逼人,NN,-9.0
7823,拮据,NN,-9.0
7824,装腔作势,ND,-9.0
7825,犹豫不前,NN,-9.0
7826,阴阳怪气,ND,-9.0
7827,臭不可闻,NN,-9.0
7828,疮痍满目,NB,0.0
7829,粗手笨脚,NN,-5.0
7830,大手大脚,NN,-5.0
7831,胆小怕事,NN,-7.0
7832,等而下之,NN,-5.0
7833,低智,NN,-3.0
7834,东倒西歪,NN,-5.0
7835,饿殍遍野,NB,-7.0
7836,反社会,NN,-9.0
7837,费时,NE,-5.0
7838,肤皮潦草,NN,-7.0
7839,干干巴巴,NN,-1.0
7840,够呛,NN,-3.0
7841,孤陋寡闻,NN,-7.0
7842,寡言少语,NN,-3.0
7843,哄然,NN,-1.0
7844,花拳绣腿,NN,-5.0
7845,灰暗,NE,0.0
7846,至尊,PD,9.0
7847,晦暗,NC,-7.0
7848,秽乱,ND,-9.0
7849,忠贞不屈,PH,5.0
7850,灼然无疑,PG,5.0
7851,最高级,PH,3.0
7852,倜傥不群,PH,7.0
7853,昏昧,NN,-9.0
7854,婷婷袅袅,PH,3.0
7855,昏愦,NN,-9.0
7856,馥馥,PH,3.0
7857,觥筹交错,PA,0.0
7858,哀切,NB,0.0
7859,抱不平,,1.0
7860,鼻酸,NB,-3.0
7861,混混沌沌,NN,-9.0
7862,吃不准,NL,-3.0
7863,踌躇不前,NL,-3.0
7864,祸从天降,NB,-9.0
7865,呆住,NN,-3.0
7866,恶骂,NN,-7.0
7867,发飙,NE,-5.0
7868,费精神,NE,-5.0
7869,顾忌,NE,-5.0
7870,慌恐,NI,-5.0
7871,鸡蛋里挑骨头,NN,-3.0
7872,解气,PA,0.0
7873,惊奇不已,PC,0.0
7874,看淡,PE,-5.0
7875,宽恕,PA,3.0
7876,来气,,0.0
7877,乱了方寸,NI,0.0
7878,面有愧色,NH,0.0
7879,气汹汹,,0.0
7880,清算,NN,-3.0
7881,傻眼,NJ,0.0
7882,挑毛病,NN,0.0
7883,惟恐,NC,0.0
7884,心急如火,NI,0.0
7885,羞窘,NG,0.0
7886,训戒,NN,0.0
7887,一怔,PC,0.0
7888,欲哭无泪,NB,0.0
7889,找碴儿,NE,0.0
7890,质疑,NL,0.0
7891,诟病,NN,0.0
7892,假正经,NN,-7.0
7893,额手称庆,PA,0.0
7894,公祭,PD,0.0
7895,魂牵梦系,PF,0.0
7896,叫绝,PH,9.0
7897,竟敢,,0.0
7898,假模假式,NN,-7.0
7899,满怀激情,PA,0.0
7900,慕名,PD,0.0
7901,盼望,PF,0.0
7902,企望,PF,0.0
7903,挤挤插插,NE,0.0
7904,安然无恙,PE,0.0
7905,守候,PF,0.0
7906,推许,PB,0.0
7907,喜上心头,PA,0.0
7908,心甘情愿,PA,0.0
7909,板板正正,PH,1.0
7910,心如蛇蝎,NN,-7.0
7911,心眼小,NN,-9.0
7912,学识谫陋,NN,-9.0
7913,浇漓,NB,-7.0
7914,矫情造作,NN,-7.0
7915,闭月羞花,PH,7.0
7916,经济拮据,NE,0.0
7917,博识,PH,5.0
7918,勃勃生机,PB,3.0
7919,空空洞洞,NN,-7.0
7920,口头上,NN,-3.0
7921,苦不唧,NN,-5.0
7922,狂妄自大,NN,-9.0
7923,出身高贵,PH,1.0
7924,春光明媚,PB,3.0
7925,老大难,NN,-7.0
7926,聪明过人,PH,5.0
7927,累卵,NN,-5.0
7928,冷血,NN,0.0
7929,利已,NN,-3.0
7930,大大方方,PH,3.0
7931,淡泊明志,PH,3.0
7932,灯火辉煌,PH,1.0
7933,零乱,NN,-5.0
7934,令人费解,NN,-7.0
7935,顶尖,PH,5.0
7936,令人厌恶,ND,-9.0
7937,乱烘烘,NN,-7.0
7938,乱真,PH,0.0
7939,多才多艺,PH,3.0
7940,满目疮痍,NB,0.0
7941,没劲,NN,-3.0
7942,没头脑,NN,-5.0
7943,没有学问,NN,-3.0
7944,迷迷蒙蒙,NE,0.0
7945,面无表情,NB,0.0
7946,木头木脑,NN,-5.0
7947,男盗女娼,NN,-9.0
7948,行为不端,NN,-9.0
7949,硬生生,NN,-9.0
7950,虚无飘渺,NN,-9.0
7951,眼疾手快,PH,9.0
7952,夜不闭户,PH,9.0
7953,有名气,PH,9.0
7954,有胆量,PH,9.0
7955,性情温良,PH,9.0
7956,细巧,PH,9.0
7957,闹得慌,NE,-7.0
7958,蔫头耷脑,NN,-5.0
7959,蓬头垢面,NN,-7.0
7960,偏斜,NN,-5.0
7961,凭空,NE,-5.0
7962,凄苦,NB,0.0
7963,欠完善,NN,-7.0
7964,禽兽不如,NN,-9.0
7965,穷苦,NB,0.0
7966,缺乏教养,NN,-5.0
7967,扰扰,NN,0.0
7968,任纵,NN,-7.0
7969,刁钻,NN,-3.0
7970,炽热,PB,3.0
7971,自愧弗如,NG,0.0
7972,世外桃源,PC,0.0
7973,三寸不烂之舌,PH,5.0
7974,八字打开,PH,3.0
7975,848,PC,0.0
7976,傲视,NN,-1.0
7977,霸气,NN,-3.0
7978,经典,PH,9.0
7979,还我河山,PG,0.0
7980,顺畅,PA,3.0
7981,解纷,PE,0.0
7982,稳妥,PG,7.0
7983,打破沙锅问到底,PH,3.0
7984,千载一遇,PC,0.0
7985,不是滋味儿,NB,-3.0
7986,寒素,PH,1.0
7987,黑蒙蒙,NC,-3.0
7988,荆棘载途,NE,-7.0
7989,不骄不躁,PH,5.0
7990,不畏艰险,PH,5.0
7991,不武断,PH,1.0
7992,才高八斗,PH,7.0
7993,茫茫然,NE,-7.0
7994,气粗,NE,0.0
7995,无立足之地,NG,-5.0
7996,盲人骑瞎马,NC,-3.0
7997,乳臭未干,NN,-9.0
7998,嗓子不好,NN,0.0
7999,傻呵呵,NN,0.0
8000,神志委靡,NN,-5.0
8001,无故,NN,-9.0
8002,无目的,NN,-9.0
8003,芬芳馥郁,PB,3.0
8004,分文不取,PH,1.0
8005,风华正茂,PH,3.0
8006,竹篮打水,NN,-9.0
8007,最差,NN,-9.0
